epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,821.587,1.38572,2.36211,1.88711,0.00995,0.95938,0.28102,0.14262,0.1468,0.06404,0.23675,0.12162,0.10602,0.03818,2.29848,2.98861,2.77752,0.00915,0,0.0007327,0.0007327,0.0007327
29,852.165,1.34661,2.17553,1.85024,0.00908,1.01051,0.27874,0.14363,0.14549,0.067,0.22693,0.12162,0.10321,0.03791,2.26289,2.8801,2.79438,0.00904,0,0.0007228,0.0007228,0.0007228
30,880.604,1.32046,2.29574,1.91524,0.00953,1.0992,0.28001,0.14865,0.14295,0.06445,0.19605,0.12162,0.09142,0.0364,2.21487,2.8522,2.83998,0.00878,0,0.0007129,0.0007129,0.0007129
31,910.361,1.35347,2.35457,1.95647,0.01108,0.94071,0.30724,0.14865,0.15876,0.07054,0.19956,0.13514,0.0927,0.0368,2.18493,2.83639,2.8455,0.00838,0,0.000703,0.000703,0.000703
32,939.686,1.34405,2.35552,1.9493,0.00986,1.18464,0.32045,0.13514,0.15345,0.07455,0.26587,0.12162,0.10345,0.04086,2.20445,2.86778,2.89081,0.00842,0,0.0006931,0.0006931,0.0006931
33,966.246,1.36713,2.2998,2.44638,0.01263,1.25762,0.36293,0.15541,0.16164,0.07221,0.28282,0.12838,0.10985,0.04117,2.17361,2.8673,2.86339,0.00826,0,0.0006832,0.0006832,0.0006832
34,993.54,1.26188,2.23738,1.79352,0.00909,0.94129,0.37998,0.15541,0.18477,0.08187,0.27956,0.13514,0.11383,0.04033,2.16005,2.86793,2.82994,0.00837,0,0.0006733,0.0006733,0.0006733
35,1021.3,1.35054,2.37666,1.95695,0.00955,1.10968,0.33459,0.14865,0.17226,0.07642,0.27751,0.13514,0.11806,0.03942,2.1301,2.8202,2.82768,0.00824,0,0.0006634,0.0006634,0.0006634
36,1050.42,1.28843,2.19406,1.7066,0.00949,1.08655,0.29159,0.16216,0.17252,0.08265,0.25446,0.16216,0.12687,0.04637,2.2236,2.8775,2.64771,0.00857,0,0.0006535,0.0006535,0.0006535
37,1079.55,1.32389,2.35677,1.84512,0.01035,1.06165,0.28026,0.18243,0.17864,0.08534,0.24054,0.16216,0.13551,0.05098,2.22333,2.87292,2.57956,0.00869,0,0.0006436,0.0006436,0.0006436
38,1107.18,1.3179,2.29983,1.83481,0.00956,1.18032,0.28492,0.2027,0.18453,0.08847,0.25643,0.18243,0.14698,0.0575,2.24749,2.9155,2.47665,0.00878,0,0.0006337,0.0006337,0.0006337
39,1142.97,1.28596,2.20653,1.80789,0.00947,0.84685,0.28775,0.24324,0.18604,0.08837,0.27497,0.20946,0.15642,0.05841,2.24346,2.92713,2.43058,0.00885,0,0.0006238,0.0006238,0.0006238
40,1179.61,1.32838,2.32265,1.74703,0.00933,0.98925,0.30114,0.26496,0.18591,0.0906,0.3127,0.25676,0.16732,0.0612,2.17751,2.93421,2.39578,0.00872,0,0.0006139,0.0006139,0.0006139
41,1212.11,1.32153,2.27665,1.68951,0.0096,0.93206,0.31559,0.27703,0.20045,0.0969,0.31314,0.25,0.16529,0.06392,2.14887,2.98482,2.36378,0.00851,0,0.000604,0.000604,0.000604
42,1247.48,1.36247,2.28865,1.83793,0.01074,0.92119,0.32482,0.27957,0.21089,0.09641,0.27891,0.25,0.1592,0.06389,2.11549,3.02896,2.38098,0.00816,0,0.0005941,0.0005941,0.0005941
43,1281.29,1.34649,2.2978,1.80115,0.01014,0.90328,0.32747,0.29054,0.21335,0.09455,0.2674,0.25,0.14855,0.05931,2.11944,3.09883,2.44124,0.00805,0,0.0005842,0.0005842,0.0005842
44,1316.68,1.33001,2.30926,1.7776,0.01015,1.13583,0.31944,0.25676,0.18894,0.08909,0.27741,0.22297,0.13837,0.05172,2.05624,3.11828,2.5699,0.00779,0,0.0005743,0.0005743,0.0005743
45,1349.44,1.282,2.31731,1.81718,0.01051,1.02365,0.26289,0.20966,0.16471,0.08297,0.23447,0.1842,0.13195,0.04958,2.02589,3.10803,2.6146,0.00758,0,0.0005644,0.0005644,0.0005644
46,1385.94,1.28117,2.20244,1.71834,0.00905,0.96126,0.25373,0.20676,0.17235,0.08488,0.23714,0.19325,0.13443,0.04978,1.99398,3.05714,2.64377,0.00727,0,0.0005545,0.0005545,0.0005545
47,1418.59,1.30122,2.21042,1.72552,0.009,1.03462,0.25618,0.22297,0.17503,0.08766,0.26142,0.22297,0.14667,0.05197,1.99177,3.00869,2.59032,0.0072,0,0.0005446,0.0005446,0.0005446
48,1452.01,1.29606,2.24752,1.82529,0.01055,1.05408,0.28309,0.27703,0.19216,0.09831,0.29183,0.26732,0.17399,0.05992,1.97759,2.86215,2.34454,0.0075,0,0.0005347,0.0005347,0.0005347
49,1486.54,1.29217,2.19405,1.79834,0.00975,0.90625,0.32618,0.28378,0.21469,0.10594,0.304,0.25,0.17993,0.06274,1.98896,2.85181,2.26646,0.00756,0,0.0005248,0.0005248,0.0005248
50,1524.47,1.30181,2.14218,1.70638,0.00905,0.93002,0.32667,0.2973,0.2298,0.11019,0.31799,0.24324,0.18817,0.06637,2.02757,2.91694,2.20213,0.0077,0,0.0005149,0.0005149,0.0005149
51,1559.92,1.3585,2.52802,1.78099,0.01086,0.92146,0.35296,0.31331,0.23851,0.11044,0.3455,0.26351,0.19554,0.06784,2.01207,2.95299,2.22788,0.00739,0,0.000505,0.000505,0.000505
52,1597.6,1.26052,2.09887,1.75157,0.00958,0.98992,0.34902,0.28378,0.24276,0.11367,0.30376,0.22973,0.18427,0.05994,1.96387,2.93159,2.23994,0.00721,0,0.0004951,0.0004951,0.0004951
53,1636.85,1.29915,2.21407,1.73393,0.0096,0.90842,0.35371,0.27735,0.23851,0.11422,0.28798,0.22297,0.19138,0.06388,1.95725,2.89687,2.26484,0.00734,0,0.0004852,0.0004852,0.0004852
54,1672.6,1.34982,2.21578,1.69237,0.00993,1.15786,0.32551,0.28378,0.23425,0.1147,0.27559,0.23649,0.19082,0.06478,1.89744,2.85895,2.30041,0.0069,0,0.0004753,0.0004753,0.0004753
55,1713.16,1.30244,2.26006,1.70583,0.00989,0.90498,0.32623,0.27027,0.22982,0.11278,0.28545,0.23649,0.18146,0.0626,1.9157,2.85523,2.27602,0.00705,0,0.0004654,0.0004654,0.0004654
56,1753.72,1.32797,2.11608,1.91271,0.01019,0.95357,0.31963,0.24125,0.2192,0.10715,0.26294,0.22973,0.17096,0.06083,1.88652,2.87474,2.36753,0.00692,0,0.0004555,0.0004555,0.0004555
57,1790.99,1.29602,2.14361,1.60871,0.00971,0.8812,0.2986,0.25676,0.21237,0.1027,0.2445,0.21622,0.1525,0.05584,1.9076,2.88863,2.41758,0.007,0,0.0004456,0.0004456,0.0004456
58,1829.43,1.25188,2.20816,1.70388,0.00958,0.81956,0.28678,0.24324,0.19183,0.09358,0.24285,0.2027,0.14778,0.0543,1.92281,2.90147,2.49115,0.00716,0,0.0004357,0.0004357,0.0004357
59,1870.63,1.3245,2.25566,1.66697,0.01023,1.02063,0.28075,0.22297,0.18899,0.09098,0.26331,0.19595,0.14912,0.05511,1.93794,2.92758,2.55185,0.0073,0,0.0004258,0.0004258,0.0004258
60,1911.38,1.34753,2.24919,1.69566,0.01045,0.84079,0.29577,0.21622,0.17772,0.08646,0.26628,0.18146,0.14423,0.05375,1.92129,2.95834,2.61376,0.00728,0,0.0004159,0.0004159,0.0004159
61,1948.42,1.26241,2.02765,1.48862,0.00959,0.8192,0.28121,0.21676,0.18442,0.0918,0.24976,0.19346,0.15384,0.05514,1.91005,2.95956,2.58472,0.00708,0,0.000406,0.000406,0.000406
62,1983.1,1.23298,2.13615,1.55813,0.00855,0.85058,0.28122,0.28378,0.18483,0.09092,0.2687,0.25571,0.15578,0.05326,1.93869,2.96722,2.52065,0.00733,0,0.0003961,0.0003961,0.0003961
63,2020.96,1.24609,2.09696,1.6001,0.00935,0.78817,0.27762,0.26351,0.17618,0.08819,0.29365,0.27027,0.16479,0.05454,1.91458,2.97664,2.49264,0.00716,0,0.0003862,0.0003862,0.0003862
